id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,HUMBLE.,Kendrick Lamar,hip-hop,intense,0.90,150,0.43,0.91,0.01
12,Clair de Lune,Claude Debussy,classical,peaceful,0.18,54,0.40,0.22,0.98
13,Redbone,Childish Gambino,r&b,romantic,0.61,96,0.74,0.76,0.05
14,Levels,Avicii,electronic,euphoric,0.85,126,0.84,0.69,0.01
15,Holocene,Bon Iver,folk,melancholic,0.42,100,0.26,0.47,0.88
16,Enter Sandman,Metallica,metal,angry,0.94,123,0.37,0.53,0.01
17,No Woman No Cry,Bob Marley,reggae,relaxed,0.48,76,0.56,0.70,0.42
18,Feeling Good,Nina Simone,soul,melancholic,0.39,71,0.31,0.44,0.72
19,Take Me Home Country Roads,John Denver,country,nostalgic,0.52,81,0.79,0.58,0.82
20,The Thrill Is Gone,B.B. King,blues,sad,0.35,63,0.24,0.47,0.46
